date, pm25, pm10, o3, no2, so2, co
2019/11/2, 165, 73, 17, 9, 9, 9
2019/11/3, 141, 59, 22, 7, 7, 9
2019/11/4, 112, 67, 31, 7, 6, 7
2019/11/5, 116, 62, 21, 8, 5, 9
2019/11/6, 85, 66, 20, 9, 6, 9
2019/11/7, 109, 78, 32, 10, 5, 9
2019/11/8, 156, 69, 37, 9, 6, 7
2019/11/9, 134, 66, 34, 11, 7, 8
2019/11/10, 136, 62, 41, 12, 6, 10
2019/11/11, 141, 72, 35, 11, 6, 11
2019/11/12, 165, 86, 33, 11, 7, 13
2019/11/13, 152, 91, 30, 13, 8, 15
2019/11/14, 165, 72, 32, 9, 9, 9
2019/11/15, 130, 63, 35, 7, 7, 7
2019/11/16, 106, 55, 38, 6, 7, 5
2019/11/17, 79, 44, 36, 5, 9, 7
2019/11/18, 72, 52, 35, 7, 7, 7
2019/11/19, 79, 58, 37, 9, 9, 9
2019/11/20, 94, 59, 42, 9, 8, 9
2019/11/21, 98, 108, 39, 10, 10, 10
2019/11/22, 139, 67, 33, 11, 12, 10
2019/11/23, 114, 60, 36, 10, 8, 10
2019/11/24, 114, 60, 36, 10, 9, 10
2019/11/25, 113, 44, 38, 7, 11, 17
2019/11/26, 80, 64, 32, 7, 9, 13
2019/11/27, 105, 56, 24, 5, 8, 7
2019/11/28, 101, 43, 25, 5, 8, 8
2019/11/29, 75, 39, 27, 4, 8, 6
2019/11/30, 78, 61, 5, 5, 16, 3
2019/12/1, 82, 53, 33, 5, 9, 8
2019/12/2, 89, 53, 32, 5, 8, 7
2019/12/3, 81, 57, 34, 3, 10, 8
2019/12/4, 87, 66, 32, 3, 10, 11
2019/12/5, 110, 66, 37, 2, 13, 17
2019/12/6, 125, 71, 35, 2, 5, 11
2019/12/7, 134, 69, 33, 2, 6, 11
2019/12/8, 124, 69, 32, 1, 6, 11
2019/12/9, 121, 72, 32, 4, 5, 12
2019/12/10, 134, 74, 29, 9, 7, 13
2019/12/11, 139, 80, 30, 9, 5, 10
2019/12/12, 148, 64, 18, 9, 5, 8
2019/12/13, 123, 56, 29, 8, 6, 7
