date, pm25, pm10, o3, no2, so2, co
2019/10/24, 101, , , 30, 3, 12
2019/10/25, 119, , , 36, 7, 20
2019/10/26, 199, , , , , 
2019/10/28, 103, , , 21, 2, 8
2019/10/29, 116, , , 23, 4, 6
2019/10/30, 124, , , 25, 2, 9
2019/10/31, 312, , , 19, 2, 12
2019/11/1, 144, , , 2, 4, 10
2019/11/2, 44, , , , , 
2019/11/4, 189, , , 8, 5, 11
2019/11/5, 184, , , 10, 6, 8
2019/11/6, 190, , , 10, 4, 6
2019/11/7, 202, , , 8, 2, 7
2019/11/8, 232, , , 6, 1, 6
2019/11/9, 323, , , , , 
2019/11/15, 78, 65, 81, 4, 3, 2
2019/11/16, 96, 119, 80, 3, 3, 3
2019/11/17, 160, 76, 16, 4, 3, 1
2019/11/18, 71, 28, 35, 3, 3, 1
2019/11/19, 66, 31, 17, 2, 3, 
2019/11/20, 73, 54, 11, 4, 3, 
2019/11/21, 130, 46, 16, 2, 3, 1
2019/11/22, 85, 49, 9, 2, 2, 1
2019/11/23, 114, 51, 24, 2, 3, 1
2019/11/24, 131, 53, 18, 3, 3, 1
2019/11/25, 110, 70, 14, 2, 3, 1
2019/11/26, 144, 58, 29, 1, 3, 2
2019/11/27, 107, 51, 23, 4, 4, 2
2019/11/28, 76, 46, 18, 2, 3, 1
2019/11/29, 86, 47, 27, 4, 4, 1
2019/11/30, 66, 53, 29, 4, 3, 2
2019/12/1, 50, 33, 27, 3, 4, 1
2019/12/2, 56, 72, 8, 4, 3, 5
2019/12/3, 83, 61, 10, 2, 3, 10
2019/12/4, 148, 61, 13, 2, 3, 2
